first_name,last_name,director_id
Robert De,Niro,d14355
Adam,Resnick,d16430
John,Whitesell,d21182
Brian De,Palma,d14956
Paul,Weiland,d20989
Mick,Jackson,d8869
Steve,Barron,d1189
Richard,Rush,d17081
Michael,Ritchie,d16598
Gregg,Champion,d3099
Marco,Brambilla,d2192
Bruce,Brown,d2385
Carl,Reiner,d16367
Kaige,Chen,d3220
Peter,Weir,d21012
Alek,Keshishian,d9857
Steve,Kloves,d10187
John,Irvin,d8760
Simon,Wincer,d21325
Boaz,Yakin,d21608
Rose,Troche,d20090
Bruce,Beresford,d1514
Sidney,Lumet,d11857
Jim,Abrahams,d36
Julianna,Lavin,d10977
Christopher,Monger,d13529
Bille,August,d782
Eric,Meza,d13174
Joel,Coen,d3565
 Ethan,Coen,d3562
James L.,Brooks,d2351
Daniel Petrie,Jr.,d9308
Jim,Sheridan,d18149
Matty,Rich,d16493
Steven,Spielberg,d18869
Dominic,Sena,d17933
Roger,Avary,d810
Daniel,Petrie,d15421
James,Lapine,d10874
David,Cronenberg,d4012
Stuart,Baird,d953
Nagisa,Ôshima,d22075
Tom,Noonan,d14413
Anthony,Minghella,d13345
Mike,Leigh,d11218
Michael,Tolkin,d19946
Sally,Potter,d15795
Jonathan,Demme,d4495
Jane,Campion,d2781
Stuart,Orme,d14791
Mel,Smith,d18649
Penny,Marshall,d12463
Philip,Kaufman,d9660
Alan,Parker,d15083
Fred,Dekker,d4444
Peter,Medak,d12964
Geoffrey,Wright,d21539
Victor,Nunez,d14484
Tim,Hunter,d8567
Cyril,Collard,d3648
Steven,Zaillian,d21834
Chris,Menges,d13068
John,Waters,d20900
Russell,Mulcahy,d13829
Richard,Attenborough,d757
Gillies,MacKinnon,d11997
Steve,Rash,d16210
Rowdy,Herrington,d8003
Arthur,Joffé,d9117
Annabel,Jankel,d8960
 Rocky,Morton,d13748
Deran,Sarafian,d17407
François,Girard,d6615
Andrew,Fleming,d5767
Henry,Selick,d17902
George P.,Cosmatos,d3870
 Kevin,Jarre,d8987
Heywood,Gould,d6918
Chris,Hegedus,d7854
 D.A.,Pennebaker,d15316
Pixote,Hunt,d8559
 Joe,Johnston,d9179
Jerry,Ciccoritti,d3421
Jennifer,Warren,d20873
Mark,Malone,d12216
Todd,Solondz,d18753
Claude,Berri,d1608
Dennis,Hopper,d8330
Guillermo del,Toro,d19979
Daniel,Algrant,d254
Pedro,Almodóvar,d287
Gurinder,Chadha,d3072
Andrew,Scheinman,d17586
Åke,Sandgren,d17351
Eva,Sereny,d17952
Lina,Wertmüller,d21093
Rémy,Duchemin,d4925
George,Miller,d13278
Ricky,Tognazzi,d19934
Michael,Austin,d797
Rob,Epstein,d5277
 Jeffrey,Friedman,d6065
Nanni,Moretti,d13658
María Luisa,Bemberg,d1436
Betty,Thomas,d19774
Ron,Clements,d3510
 John,Musker,d13945
Kevin,Costner,d3885
Steve,Cohen,d3604
William,Cottrell,d3893
 David,Hand,d7549
 Wilfred,Jackson,d8857
 Larry,Morey,d13660
 Perce,Pearce,d15245
 Ben,Sharpsteen,d18072
Gary,Trousdale,d20104
 Kirk,Wise,d21380
Norman,Ferguson,d5575
 T.,Hee,d7840
 Jack,Kinney,d10066
 Hamilton,Luske,d11895
 Bill,Roberts,d16649
Yuri,Mamin,d12229
Sam,Peckinpah,d15261
C.M.,Talkington,d19528
Jianxin,Huang,d8454
Jean,Bach,d878
Sam,Weisman,d21021
Bill,Condon,d3695
Stephen,Poliakoff,d15679
David R.,Ellis,d5199
Gerald,Potterton,d15796
 John,Bruno,d2448
 John,Halas,d7440
 Julian,Harris,d7653
 Jimmy T.,Murakami,d13879
 Barrie,Nelson,d14169
 Paul,Sabella,d17169
 Jack,Stokes,d19133
 Pino Van,Lamsweerde,d10788
 Harold,Whitaker,d21150
Kevin,Yagher,d21605
Matt,Reeves,d16331
Franco,Zeffirelli,d21892
Anna,Campion,d2780
Franco,Brusati,d2451
Wolfgang,Reitherman,d16389
Fernando,Trueba,d20109
Bill,Couturié,d3914
Werner,Herzog,d8020
André,Téchiné,d20244
Vern,Oakley,d14584
Mika,Kaurismäki,d9667
Férid,Boughedir,d2097
Martin,Lawrence,d10996
Stacy,Title,d19902
Gregory,Hoblit,d8172
Clement,Virgo,d20596
Bruno,Barreto,d1173
Larry,Leker,d11233
Hal,Salwen,d17304
Jonathan R.,Betuel,d1661
Richard,Pearce,d15249
Todd,Verow,d20490
Jonathan,Lynn,d11929
Tim,Sullivan,d19300
Jeremiah S.,Chechik,d3197
Hervé,Palud,d14971
Martin,Enlen,d5254
Carlo,Rola,d16802
Ed,Herzog,d8019
Claude,Sautet,d17492
Friðrik Þór,Friðriksson,d6082
Pen,Densham,d4520
Sönke,Wortmann,d21524
Cheol-su,Park,d15056
Rob,Cohen,d3600
Joseph,Vilsmaier,d20572
Michael,Verhoeven,d20472
Gray,Hofmeyr,d8220
Richard,Wherrett,d21145
René,Clément,d3543
Anthony,Hopkins,d8320
Paul,Mazursky,d12721
Emir,Kusturica,d10625
Bo,Widerberg,d21201
Alan,Mehrez,d12995
Satyajit,Ray,d16264
Jim,Mallon,d12200
Helen De,Michiel,d13196
Joe,Pytka,d15996
Roger,Vadim,d20332
Catherine,Cyran,d4151
Brett,Piper,d15591
George,Hickenlooper,d8057
Jean-Luc,Godard,d6702
Bertrand,Tavernier,d19628
Gordon,Willis,d21289
Randal,Kleiser,d10158
Michael,Blakemore,d1838
Margarethe von,Trotta,d20103
Norberto,Barba,d1077
Eli,Cohen,d3585
Robert,Mandel,d12243
Pat,Verducci,d20467
Michael,Winterbottom,d21366
Steven,Baigelman,d934
Zalman,King,d10062
Barry,Caillier,d2702
Patrick Read,Johnson,d9169
Stijn,Coninx,d3701
John,Cassavetes,d2982
Stacy,Cochran,d3553
Jean-Claude Van,Damme,d4235
Mark,Joffe,d9114
Steve,Gomer,d6801
George,Scribner,d17828
Tom,DeCerchio,d4379
Alan,Shapiro,d18042
Angela,Pope,d15741
Betty,Kaplan,d9526
Jim,Jarmusch,d8984
Jean-Paul,Rappeneau,d16205
Jack,Hill,d8099
Manuel Gómez,Pereira,d15338
Jean-Marie,Poiré,d15663
Brett,Thompson,d19802
Spiro,Scimone,d17794
 Francesco,Sframeli,d17997
Gaylene,Preston,d15864
Stephen,Quay,d16023
 Timothy,Quay,d16022
Phil,Joanou,d9110
Larry,Cohen,d3592
 Fred,Williamson,d21283
Harvey,Miller,d13280
Michele,Soavi,d18697
David,Hogan,d8223
Maurice,Pialat,d15483
Gabriel,Barylli,d1230
