first_name,last_name,writer_id
 Cyrus,Voris,w49860
 Mark,Bishop,w4408
Gene,Roddenberry,w40608
 Rick,Berman,w3886
 Ronald D.,Moore,w33247
 Brannon,Braga,w5472
Rusty,Cundieff,w10306
 Darin,Scott,w43101
Michael,Hastings,w19530
 Michael,Hastings,w19526
 Adrian,Hodges,w20634
John,Wyndham,w52128
 Stirling,Silliphant,w44351
 Wolf,Rilla,w40208
 Ronald,Kinnoch,w25033
 David,Himmelstein,w20478
Bonnie,Turner,w48755
 Terry,Turner,w48749
Anton,Chekhov,w8133
 David,Mamet,w29974
 Andre,Gregory,w17960
Don,Tracy,w48307
 Steven,Soderbergh,w45190
 Daniel,Fuchs,w15404
Preston A. Whitmore,II,w21659
Peter,Hedges,w19797
 Peter,Hedges,w19796
Eric,Bernt,w3995
Daniel G.,Sullivan,w46595
 Fredric,Lebow,w27313
Kathy,McWorter,w31754
Mina,Shum,w44200
P.J.,Hogan,w20737
Ann M.,Martin,w30651
 Dalene,Young,w52551
 Jack,Bernstein,w3966
 Tom,Shadyac,w43526
 Jim,Carrey,w7386
Stephan,Elliott,w13032
Iain,Softley,w45204
 Michael,Thomas,w47703
 Stephen,Ward,w50332
Pascal,Bruckner,w6124
 Roman,Polanski,w38086
 Gérard,Brach,w5403
 John,Brownjohn,w6097
 Jeff,Gross,w18153
 Douglas,McGrath,w31510
Tom,Clancy,w8685
 Donald E.,Stewart,w46128
 Steven,Zaillian,w52738
 John,Milius,w32413
John,Grisham,w18110
 Robert,Getchell,w16419
Jessie,Nelson,w34624
Joie,Lee,w27514
 Joie,Lee,w27402
 Cinqué,Lee,w27367
James,O'Barr,w35348
 David J.,Schow,w42869
 John,Shirley,w44082
Al,Stump,w46468
 Al,Stump,w46467
 Ron,Shelton,w43821
Tom S.,Parker,w36681
 Jim,Jennewein,w22604
Winston,Groom,w18144
 Eric,Roth,w41136
Richard,Curtis,w10379
John,Singleton,w44628
Darnell,Martin,w30653
Nancy,Meyers,w32230
Jane,Anderson,w1148
Rudyard,Kipling,w25052
 Ron,Yanover,w52333
 Mark,Geldman,w16239
 Ronald,Yanover,w52334
Ray,Müller,w34180
 Ray,Müller,w34178
Irene,Mecchi,w31785
 Jonathan,Roberts,w40407
 Linda,Woolverton,w51980
 Barry,Johnson,w22799
 Lorna,Cook,w9497
 Thom,Enriquez,w13230
 Andy,Gaskill,w16073
 Gary,Trousdale,w48499
 Jim,Capobianco,w7128
 Kevin,Harkey,w19212
 Chris,Sanders,w42085
 Tom,Sito,w44683
 Larry,Leker,w27693
 Joe,Ranft,w39243
 Rick,Maki,w29850
 Mark,Kausler,w24113
 J.T.,Allen,w752
 George,Scribner,w43141
 Jenny,Tripp,w48443
 Bob,Tzudiker,w48843
 Christopher,Vogler,w49811
 Kirk,Wise,w51659
 Noni,White,w51062
 Brenda,Chapman,w7980
Bernardo,Bertolucci,w4043
 Rudy,Wurlitzer,w52102
 Mark,Peploe,w37235
Wes,Craven,w10004
 Wes,Craven,w10000
Michael,Fallon,w13678
 Mark,Verheiden,w49452
 Mike,Werb,w50860
Roy,Huggins,w21304
 William,Goldman,w17151
Alan,Rudolph,w41379
 Randy Sue,Coburn,w8953
Pat,Proft,w38605
 David,Zucker,w53118
 Robert,LoCash,w28662
 Jim,Abrahams,w91
 Jerry,Zucker,w53119
David,Koepp,w25466
 Stephen,Koepp,w25465
Helen,Childress,w8330
John,Dahl,w10534
 Rick,Dahl,w10529
Neil,Tolkin,w48110
 Tom S.,Parker,w36659
Ellyn,Bache,w2197
 Deena,Goldstone,w17196
Denis,O'Neill,w35528
Robert,King,w24996
Mark,Verheiden,w49453
