,awards,imdb_id
139,Nominated for 1 Oscar. Another 6 wins & 25 nominations.,tt0115685
140,1 win.,tt0113200
141,4 wins & 1 nomination.,tt0112585
142,1 win & 3 nominations.,tt0112442
143,3 nominations.,tt0112342
144,N/A,tt0112461
145,2 nominations.,tt0112427
146,1 win & 2 nominations.,tt0109093
147,Won 2 Oscars. Another 24 wins & 49 nominations.,tt0112384
148,Nominated for 1 Oscar. Another 2 wins & 2 nominations.,tt0114287
149,5 wins & 4 nominations.,tt0112288
150,Nominated for 3 Oscars. Another 10 wins & 22 nominations.,tt0112462
151,Nominated for 1 BAFTA Film Award. Another 5 wins & 2 nominations.,tt0061395
152,2 wins & 3 nominations.,tt0112495
153,2 nominations.,tt0112541
154,N/A,tt0109370
155,4 wins & 5 nominations.,tt0112642
156,6 nominations.,tt0112688
157,2 wins & 11 nominations.,tt0112715
158,Nominated for 3 Oscars. Another 5 wins & 6 nominations.,tt0112740
159,16 wins & 5 nominations.,tt0109508
160,1 win & 4 nominations.,tt0112851
161,3 wins & 13 nominations.,tt0112857
162,2 wins & 3 nominations.,tt0112864
163,1 nomination.,tt0112887
164,N/A,tt0113044
165,N/A,tt0113071
166,2 wins & 2 nominations.,tt0113114
167,N/A,tt0113243
168,1 win & 4 nominations.,tt0113464
169,2 wins & 3 nominations.,tt0113481
170,2 wins & 5 nominations.,tt0113492
171,1 win & 1 nomination.,tt0113500
172,1 win & 5 nominations.,tt0113540
173,7 wins & 6 nominations.,tt0113677
174,2 wins & 1 nomination.,tt0113690
175,1 win & 3 nominations.,tt0107447
176,N/A,tt0113729
177,N/A,tt0113749
178,1 nomination.,tt0113820
179,N/A,tt0113851
180,3 wins & 3 nominations.,tt0110604
181,2 wins & 5 nominations.,tt0110620
182,2 wins & 1 nomination.,tt0113957
183,1 win & 2 nominations.,tt0113986
184,1 nomination.,tt0114095
185,2 nominations.,tt0114194
186,N/A,tt0114241
187,4 wins & 12 nominations.,tt0114323
188,1 win & 10 nominations.,tt0114345
189,N/A,tt0114435
190,10 wins & 10 nominations.,tt0114436
191,9 wins & 8 nominations.,tt0114478
192,Nominated for 1 Golden Globe. Another 1 win & 2 nominations.,tt0114496
193,3 wins & 6 nominations.,tt0114508
194,N/A,tt0114534
195,2 wins & 4 nominations.,tt0114558
196,Nominated for 5 Oscars. Another 5 wins & 2 nominations.,tt0058450
197,1 nomination.,tt0114666
198,1 nomination.,tt0114663
199,1 nomination.,tt0114702
200,Nominated for 2 Golden Globes. Another 1 nomination.,tt0114682
201,N/A,tt0114781
202,Nominated for 1 Oscar. Another 2 nominations.,tt0114798
203,2 wins & 1 nomination.,tt0114805
204,Won 1 Golden Globe. Another 4 nominations.,tt0114887
205,Nominated for 1 Oscar. Another 5 wins & 8 nominations.,tt0114898
206,N/A,tt0114928
207,3 nominations.,tt0114938
208,Nominated for 1 BAFTA Film Award. Another 1 win & 2 nominations.,tt0109340
209,N/A,tt0112602
210,Won 1 Oscar. Another 3 wins & 7 nominations.,tt0111579
211,Nominated for 1 Oscar. Another 19 wins & 3 nominations.,tt0110882
212,1 win & 7 nominations.,tt0112471
213,1 nomination.,tt0112508
214,N/A,tt0112438
215,1 win & 2 nominations.,tt0112571
216,2 wins & 3 nominations.,tt0112757
217,N/A,tt0112643
218,1 win.,tt0112679
219,5 wins & 10 nominations.,tt0109445
220,Nominated for 1 Oscar. Another 4 wins & 4 nominations.,tt0112883
221,2 wins & 2 nominations.,tt0109635
222,N/A,tt0112899
223,N/A,tt0109676
224,N/A,tt0112854
225,4 nominations.,tt0109579
226,1 win & 8 nominations.,tt0109642
227,5 wins & 3 nominations.,tt0109686
228,Nominated for 1 Oscar. Another 5 wins & 13 nominations.,tt0111797
229,15 wins & 10 nominations.,tt0109759
230,1 win & 4 nominations.,tt0109758
231,Won 2 Oscars. Another 23 wins & 28 nominations.,tt0109707
232,2 nominations.,tt0113117
233,1 win.,tt0113097
234,3 nominations.,tt0113028
235,5 nominations.,tt0113198
236,1 nomination.,tt0113303
237,2 nominations.,tt0113089
238,Nominated for 1 Oscar. Another 6 wins & 3 nominations.,tt0109771
239,1 win.,tt0113199
240,N/A,tt0113234
241,1 nomination.,tt0109906
242,Nominated for 1 Oscar. Another 21 wins & 7 nominations.,tt0110057
243,Nominated for 1 Oscar. Another 17 wins & 13 nominations.,tt0110005
244,N/A,tt0110066
245,1 nomination.,tt0110116
246,N/A,tt0110006
247,N/A,tt0113360
248,N/A,tt0110099
249,Nominated for 2 Oscars. Another 22 wins & 25 nominations.,tt0110148
250,2 nominations.,tt0113463
251,N/A,tt0110189
252,Nominated for 1 Oscar. Another 4 nominations.,tt0110216
253,1 win.,tt0113501
254,1 nomination.,tt0113538
255,1 nomination.,tt0113552
256,Won 6 Oscars. Another 50 wins & 28 nominations.,tt0076759
257,Nominated for 3 Oscars. Another 5 wins & 15 nominations.,tt0110367
258,Nominated for 2 Oscars. Another 3 wins & 7 nominations.,tt0113670
259,6 wins & 3 nominations.,tt0110296
260,N/A,tt0109731
261,Nominated for 1 Golden Globe. Another 26 wins & 13 nominations.,tt0103994
262,Won 1 Oscar. Another 2 wins & 10 nominations.,tt0110322
263,N/A,tt0110443
264,4 wins & 6 nominations.,tt0110365
265,N/A,tt0107566
266,2 nominations.,tt0110391
267,1 nomination.,tt0113691
268,Won 1 Oscar. Another 15 wins & 18 nominations.,tt0110428
269,Nominated for 1 Oscar. Another 13 nominations.,tt0109836
270,2 nominations.,tt0113755
271,1 nomination.,tt0110538
272,1 nomination.,tt0110516
273,1 nomination.,tt0110527
274,1 nomination.,tt0113808
275,Nominated for 1 Oscar. Another 3 wins & 4 nominations.,tt0113896
276,2 wins & 2 nominations.,tt0113870
277,Nominated for 2 Oscars. Another 5 wins & 6 nominations.,tt0110684
278,Nominated for 1 Oscar. Another 5 wins & 6 nominations.,tt0110638
279,3 nominations.,tt0113967
280,N/A,tt0117169
281,1 nomination.,tt0106402
282,N/A,tt0113948
