,director_id,first_name,last_name
535,d9383,Fred,Dekker
537,d17432,Peter,Medak
538,d9655,Geoffrey,Wright
539,d21290,Victor,Nunez
541,d20689,Tim,Hunter
542,d7335,Cyril,Collard
545,d20108,Steven,Zaillian
546,d6850,Chris,Menges
548,d12592,John,Waters
549,d18889,Russell,Mulcahy
550,d18104,Richard,Attenborough
552,d9875,Gillies,MacKinnon
558,d20024,Steve,Rash
560,d18815,Rowdy,Herrington
561,d5465,Arthur,Joffé
562,d5182,Annabel,Jankel
563,d3244, Rocky,Morton
565,d8142,Deran,Sarafian
566,d9363,François,Girard
567,d4955,Andrew,Fleming
568,d10509,Henry,Selick
570,d9718,George P.,Cosmatos
571,d2135, Kevin,Jarre
572,d10551,Heywood,Gould
574,d6823,Chris,Hegedus
575,d745, D.A.,Pennebaker
576,d17703,Pixote,Hunt
577,d1830, Joe,Johnston
578,d11946,Jerry,Ciccoritti
579,d11867,Jennifer,Warren
580,d15003,Mark,Malone
581,d20809,Todd,Solondz
582,d7105,Claude,Berri
583,d8128,Dennis,Hopper
584,d10146,Guillermo del,Toro
585,d7498,Daniel,Algrant
586,d17248,Pedro,Almodóvar
587,d10154,Gurinder,Chadha
588,d5014,Andrew,Scheinman
589,d22056,Åke,Sandgren
591,d9022,Eva,Sereny
592,d14242,Lina,Wertmüller
595,d18962,Rémy,Duchemin
596,d9713,George,Miller
597,d18272,Ricky,Tognazzi
598,d15592,Michael,Austin
599,d18314,Rob,Epstein
600,d1737, Jeffrey,Friedman
602,d16301,Nanni,Moretti
603,d15209,María Luisa,Bemberg
604,d5868,Betty,Thomas
607,d18747,Ron,Clements
608,d1890, John,Musker
610,d13579,Kevin,Costner
611,d19991,Steve,Cohen
614,d21609,William,Cottrell
615,d826, David,Hand
616,d3940, Wilfred,Jackson
617,d2225, Larry,Morey
618,d2976, Perce,Pearce
619,d373, Ben,Sharpsteen
620,d9578,Gary,Trousdale
621,d2159, Kirk,Wise
622,d16670,Norman,Ferguson
623,d3625, T.,Hee
625,d1575, Jack,Kinney
626,d1401, Hamilton,Luske
627,d424, Bill,Roberts
630,d21913,Yuri,Mamin
631,d19060,Sam,Peckinpah
632,d6402,C.M.,Talkington
633,d12030,Jianxin,Huang
634,d11620,Jean,Bach
635,d19070,Sam,Weisman
637,d5890,Bill,Condon
638,d19949,Stephen,Poliakoff
641,d7940,David R.,Ellis
642,d9762,Gerald,Potterton
643,d1856, John,Bruno
644,d1876, John,Halas
645,d2019, Julian,Harris
646,d1807, Jimmy T.,Murakami
647,d352, Barrie,Nelson
648,d2959, Paul,Sabella
649,d1579, Jack,Stokes
650,d3055, Pino Van,Lamsweerde
651,d1421, Harold,Whitaker
652,d13625,Kevin,Yagher
653,d15326,Matt,Reeves
654,d9272,Franco,Zeffirelli
655,d5166,Anna,Campion
656,d9265,Franco,Brusati
657,d21711,Wolfgang,Reitherman
659,d9154,Fernando,Trueba
660,d5893,Bill,Couturié
661,d21538,Werner,Herzog
662,d5079,André,Téchiné
663,d21249,Vern,Oakley
664,d15957,Mika,Kaurismäki
665,d9464,Férid,Boughedir
666,d15143,Martin,Lawrence
667,d19815,Stacy,Title
668,d10087,Gregory,Hoblit
669,d7151,Clement,Virgo
670,d6304,Bruno,Barreto
671,d13958,Larry,Leker
674,d10262,Hal,Salwen
675,d12741,Jonathan R.,Betuel
676,d18193,Richard,Pearce
677,d20812,Todd,Verow
678,d12731,Jonathan,Lynn
679,d20718,Tim,Sullivan
681,d11895,Jeremiah S.,Chechik
682,d10544,Hervé,Palud
683,d15121,Martin,Enlen
684,d6477,Carlo,Rola
685,d8542,Ed,Herzog
686,d7119,Claude,Sautet
689,d9436,Friðrik Þór,Friðriksson
690,d17270,Pen,Densham
691,d20299,Sönke,Wortmann
692,d6735,Cheol-su,Park
693,d18307,Rob,Cohen
694,d12892,Joseph,Vilsmaier
695,d15857,Michael,Verhoeven
697,d10025,Gray,Hofmeyr
698,d18227,Richard,Wherrett
699,d18049,René,Clément
700,d5244,Anthony,Hopkins
704,d17148,Paul,Mazursky
705,d8777,Emir,Kusturica
706,d5987,Bo,Widerberg
707,d4400,Alan,Mehrez
708,d19220,Satyajit,Ray
710,d12074,Jim,Mallon
711,d10449,Helen De,Michiel
712,d12233,Joe,Pytka
713,d18692,Roger,Vadim
714,d6559,Catherine,Cyran
715,d6164,Brett,Piper
716,d9696,George,Hickenlooper
718,d11682,Jean-Luc,Godard
719,d5850,Bertrand,Tavernier
722,d9991,Gordon,Willis
723,d17904,Randal,Kleiser
724,d15606,Michael,Blakemore
726,d14809,Margarethe von,Trotta
728,d16657,Norberto,Barba
729,d8688,Eli,Cohen
730,d18513,Robert,Mandel
731,d16969,Pat,Verducci
732,d15866,Michael,Winterbottom
733,d20046,Steven,Baigelman
734,d21991,Zalman,King
735,d5648,Barry,Caillier
736,d17024,Patrick Read,Johnson
737,d20122,Stijn,Coninx
738,d12343,John,Cassavetes
739,d19813,Stacy,Cochran
740,d11664,Jean-Claude Van,Damme
741,d14987,Mark,Joffe
742,d19998,Steve,Gomer
745,d9732,George,Scribner
746,d20832,Tom,DeCerchio
747,d4415,Alan,Shapiro
748,d5130,Angela,Pope
749,d5867,Betty,Kaplan
750,d12064,Jim,Jarmusch
751,d11700,Jean-Paul,Rappeneau
752,d11067,Jack,Hill
753,d14652,Manuel Gómez,Pereira
754,d11690,Jean-Marie,Poiré
756,d6171,Brett,Thompson
757,d19800,Spiro,Scimone
758,d1162, Francesco,Sframeli
762,d9601,Gaylene,Preston
764,d19951,Stephen,Quay
765,d3738, Timothy,Quay
766,d17532,Phil,Joanou
767,d13949,Larry,Cohen
768,d1201, Fred,Williamson
770,d10403,Harvey,Miller
771,d15908,Michele,Soavi
773,d7837,David,Hogan
774,d15443,Maurice,Pialat
775,d9475,Gabriel,Barylli
776,d14618,Mamoru,Oshii
777,d20859,Tom,Holland
778,d18246,Rick,Friedberg
779,d21130,Udayan,Prasad
780,d16485,Nick,Park
781,d4159,Abraham,Polonsky
783,d7996,David,Twohy
784,d18591,Robert Z.,Leonard
785,d19833,Stanley,Kubrick
786,d10189,Guy,Maddin
787,d12511,John,O'Brien
789,d13594,Kevin James,Dobson
790,d21292,Victor,Saville
791,d10452,Helena,Solberg
793,d8529,Ebrahim,Forouzesh
794,d9425,Freida Lee,Mock
798,d7852,David,Keating
799,d11304,James,Mangold
800,d9235,Francis Ford,Coppola
801,d15194,Mary,Harron
802,d6671,Charles,Matthau
803,d9978,Goran,Paskaljevic
804,d5797,Benoît,Lamy
805,d2747, Mweze,Ngangura
806,d11707,Jean-Pierre,Bekolo
807,d8262,Djibril Diop,Mambéty
808,d9589,Gaston,Kaboré
809,d9102,Federico,Fellini
810,d2333, Louis,Malle
811,d3255, Roger,Vadim
812,d21298,Victoria,Foyt
813,d1455, Henry,Jaglom
814,d18358,Robby,Henson
816,d19310,Scott,Winant
823,d6033,Bobby,Farrelly
824,d2986, Peter,Farrelly
826,d18155,Richard,Gordon
827,d565, Carma,Hinton
830,d14424,Lucian,Pintilie
831,d10200,Gyula,Gazdag
832,d10213,Gérard,Mordillat
833,d15535,Mel,Chionglo
834,d4677,Alexandre,Rockwell
835,d7007,Christopher,Larkin
836,d14016,Laurent,Heynemann
840,d6262,Bronwen,Hughes
842,d16540,Nicole,Holofcener
846,d22073,Éric,Rohmer
847,d9372,Fraser C.,Heston
848,d13593,Kevin,Hooks
850,d10824,Ildikó,Enyedi
851,d10658,Howard,Franklin
852,d16118,Mitch,Marcus
853,d11169,Jaime,Hellman
854,d16530,Nicolas,Roeg
855,d5404,Arlene,Sanford
856,d15453,Maurizio,Nichetti
858,d17200,Paul,Turner
860,d17469,Peter,Sehr
861,d18721,Rolf,Silber
862,d17495,Peter,Weck
863,d14644,Manoel de,Oliveira
865,d12525,John,Payson
866,d10700,Hugh,Wilson
867,d16565,Nigel,Finch
869,d10393,Hart,Bochner
870,d8404,Doug,Ellin
871,d5205,Annette,Haywood-Carter
873,d7612,Danny,DeVito
874,d8430,Douglas,McGrath
875,d20707,Tim,Pope
876,d10390,Harry,Winer
877,d9743,Georges,Franju
878,d9850,Gilbert,Adler
879,d12554,John,Rubino
880,d14217,Li,Yin
881,d10622,Ho,Yim
883,d14781,Marcus,DeLeon
884,d14071,Lee David,Zlotoff
886,d5145,Anh Hung,Tran
887,d13097,Julian,Schnabel
889,d18722,Rolf de,Heer
890,d13442,Keisuke,Kinoshita
891,d16538,Nicole,Garcia
892,d14139,Leone,Pompucci
893,d13158,Junli,Zheng
897,d14286,Lisa,Krueger
898,d16049,Mikio,Naruse
900,d13920,Lana,Wachowski
901,d2296, Lilly,Wachowski
902,d5463,Arthur,Hiller
903,d12553,John,Ruane
906,d17471,Peter,Shaner
907,d16091,Ming-liang,Tsai
908,d7571,Daniel,Schmid
909,d20703,Tim,Metcalfe
910,d10975,Izidore K.,Musallam
912,d12080,Jim,McKay
913,d13313,Karim,Dridi
915,d12387,John,Frankenheimer
916,d3167, Richard,Stanley
917,d7901,David Mickey,Evans
918,d7859,David,Koepp
919,d9584,Gary,Winick
922,d16469,Nick,Hamm
923,d18821,Roy Allen,Smith
924,d20541,Theo van,Gogh
925,d17815,Rafael,Moleón
926,d12199,Joe,Chappelle
927,d21064,Trevor,Nunn
928,d13455,Keith,Gordon
929,d15482,Max,Ophüls
930,d11417,Jan Jakub,Kolski
932,d19071,Sam,Wood
933,d9682,George,Cukor
934,d19830,Stanley,Donen
935,d1260, Gene,Kelly
936,d21363,Vincente,Minnelli
938,d5974,Blake,Edwards
939,d4704,Alfred,Hitchcock
941,d9279,Frank,Capra
943,d15041,Mark,Sandrich
945,d5950,Billy,Wilder
948,d15638,Michael,Curtiz
949,d12436,John,Huston
952,d21678,William,Wyler
953,d21485,Walter,Lang
954,d3949, William A.,Seiter
956,d21279,Victor,Fleming
957,d1274, George,Cukor
958,d2577, Mervyn,LeRoy
959,d2856, Norman,Taurog
960,d3171, Richard,Thorpe
961,d2155, King,Vidor
964,d3336, Sam,Wood
967,d16822,Orson,Welles
969,d16124,Mitchell,Leisen
970,d12871,Joseph L.,Mankiewicz
976,d14116,Leo,McCarey
980,d8963,Ernst,Lubitsch
985,d3958, William,Keighley
986,d18811,Rouben,Mamoulian
987,d16854,Otto,Preminger
992,d10091,Gregory La,Cava
993,d9737,George,Stevens
994,d8693,Elia,Kazan
995,d21452,W.S. Van,Dyke
996,d10661,Howard,Hawks
997,d15586,Michael,Anderson
998,d1869, John,Farrow
1003,d21294,Victor,Sjöström
1004,d21591,William A.,Wellman
1005,d12350,John,Cromwell
1006,d5376,Archie,Mayo
1008,d6371,Busby,Berkeley
1009,d10502,Henry,Koster
1010,d11250,James Edward,Grant
1012,d14207,Lewis,Milestone
1013,d10662,Howard,Hughes
1014,d1489, Howard,Hawks
1015,d9660,George A.,Romero
1018,d18119,Richard,Brooks
1022,d21293,Victor,Schertzinger
1023,d9277,Frank,Borzage
1024,d8646,Edwin L.,Marin
1025,d20529,Thaddeus,O'Sullivan
1026,d7234,Corey,Yuen
1028,d12937,Joshua,Logan
1029,d6859,Chris,Newby
1030,d18207,Richard,Schenkman
1031,d4764,Allan,Miller
1032,d6534,Carroll,Ballard
1033,d13935,Lance,Young
1036,d18283,Ringo,Lam
1038,d4837,Amy Holden,Jones
1039,d15360,Matthew,Broderick
1040,d6431,Campbell,Scott
1041,d3523, Stanley,Tucci
1043,d18511,Robert M.,Young
1045,d12423,John,Herzfeld
1046,d17992,Reb,Braddock
1047,d18051,René,Gainville
1048,d12589,John,Walsh
1050,d12405,John,Gray
1051,d18503,Robert,Lieberman
1053,d16682,Norman,Tokar
1054,d16671,Norman,Foster
1055,d12429,John,Hough
1056,d18567,Robert,Stevenson
1059,d7987,David,Swift
1061,d8501,Duwayne,Dunham
1062,d6632,Charles,Barton
1063,d13481,Ken,Annakin
1065,d18147,Richard,Fleischer
1067,d21613,William,Dear
1068,d7171,Clyde,Geronimi
1073,d707, Clyde,Geronimi
1076,d1422, Harold,Young
1078,d10345,Harold D.,Schuster
1082,d19090,Samuel,Armstrong
1083,d2852, Norman,Ferguson
1088,d1867, John,Elliotte
1089,d8312,Don,Chaffey
1094,d20440,Ted,Berman
1095,d3160, Richard,Rich
1096,d301, Art,Stevens
1097,d15359,Matthew,Bright
1098,d18587,Robert,Wise
1101,d16455,Nick,Cassavetes
1102,d10784,Iara,Lee
1105,d20855,Tom,Hanks
1106,d15798,Michael,Pressman
1108,d12846,Joseph,Bologna
1109,d3135, Renée,Taylor
1110,d10548,Hettie,Macdonald
1113,d4342,Al,Pacino
1114,d19988,Steve,Buscemi
1115,d10918,Ismail,Merchant
1116,d12494,John,McNaughton
1121,d14124,Leon,Ichaso
1122,d5676,Baz,Luhrmann
1123,d8407,Doug,Liman
1125,d15625,Michael,Cimino
1126,d19296,Scott,Silver
1127,d20317,Tad,Stones
1128,d5218,Anthony,Asquith
1131,d8623,Edward,Dmytryk
1133,d12839,Josef von,Sternberg
1134,d2796, Nicholas,Ray
1135,d4110,Aaron Kim,Johnston
1136,d15540,Mel,Stuart
1137,d11402,Jan,Bucquoy
1138,d11051,Jack,Clayton
1141,d6642,Charles,Crichton
1142,d1858, John,Cleese
1143,d20499,Terry,Jones
1147,d5471,Arthur,Penn
1148,d12578,John,Sturges
1149,d1203, Fred,Zinnemann
1151,d9449,Frédéric,Mitterrand
1152,d8755,Emile,Ardolino
1155,d20447,Ted,Kotcheff
1160,d4393,Alan J.,Pakula
1162,d19045,Sam Henry,Kass
1166,d15632,Michael,Covert
1167,d16444,Nicholas,Ray
1169,d10059,Greg,Spence
1170,d10711,Hugo Van,Lawick
1171,d15724,Michael,Kreihsl
1172,d20464,Temístocles,López
1173,d7117,Claude,Nuridsany
1174,d2427, Marie,Pérennou
1175,d4418,Alan,Taylor
1178,d6806,Chris,Cullari
1179,d5796,Benoît,Jacquot
