,imdb_id,director_id
717,tt0114307,d17501
718,tt0058898,d11682
719,tt0082206,d5850
720,tt0111430,d15957
721,tt0107727,d7107
722,tt0081759,d9991
723,tt0113443,d17904
724,tt0109491,d15606
725,tt0114048,d19721
726,tt0111613,d14809
727,tt0117104,d18109
728,tt0117688,d16657
729,tt0109751,d8688
730,tt0117774,d18513
731,tt0114736,d16969
732,tt0112604,d15866
733,tt0116289,d20046
734,tt0109593,d21991
735,tt0103095,d5648
736,tt0112368,d17024
737,tt0104046,d20122
738,tt0062952,d12343
739,tt0115742,d19813
740,tt0117420,d11664
741,tt0115951,d14987
742,tt0117784,d19998
743,tt0117107,d14089
744,tt0117979,d15736
745,tt0095776,d9732
746,tt0115851,d20832
747,tt0116322,d4415
748,tt0109374,d5130
749,tt0110712,d5867
750,tt0112817,d12064
751,tt0113362,d11700
752,tt0073778,d11067
753,tt0112546,d14652
754,tt0108500,d11690
755,tt0117108,d10355
756,tt0113270,d6171
757,tt0333373,d19800
758,tt0333373,d1162
759,tt0115963,d4955
760,tt0116448,d18017
761,tt0116827,d6268
762,tt0114894,d9601
763,tt0112701,d12558
764,tt0113429,d19951
765,tt0113429,d3738
766,tt0116508,d17532
767,tt0117260,d13949
768,tt0117260,d1201
769,tt0117500,d15598
770,tt0116405,d10403
771,tt0109592,d15908
772,tt0117998,d11436
773,tt0115624,d7837
774,tt0113145,d15443
775,tt0116559,d9475
776,tt0113568,d14618
777,tt0117894,d20859
778,tt0117723,d18246
779,tt0112586,d21130
780,tt0112691,d16485
781,tt0040366,d4159
782,tt0117768,d12462
783,tt0115571,d7996
784,tt0031612,d18591
785,tt0057012,d19833
786,tt0103926,d10189
787,tt0105737,d12511
788,tt0113849,d12439
789,tt0113188,d13594
790,tt0042644,d21292
791,tt0109381,d10452
792,tt0109688,d13290
793,tt0104606,d8529
794,tt0110480,d9425
795,tt0108211,d12892
796,tt0117331,d19721
797,tt0117765,d4928
798,tt0116833,d7852
799,tt0113280,d11304
800,tt0116669,d9235
801,tt0116594,d15194
802,tt0113211,d6671
803,tt0114494,d9978
804,tt0094265,d5797
805,tt0094265,d2747
806,tt0105201,d11707
807,tt0070820,d8262
808,tt0084898,d9589
809,tt0063715,d9102
810,tt0063715,d2333
811,tt0063715,d3255
812,tt0109191,d21298
813,tt0109191,d1455
814,tt0114122,d18358
815,tt0117951,d7609
816,tt0118523,d19310
817,tt0116629,d18707
818,tt0117737,d5824
819,tt0116277,d21008
820,tt0116583,d9578
821,tt0116583,d2159
822,tt0115798,d5742
823,tt0116778,d6033
824,tt0116778,d2986
825,tt0116213,d7059
826,tt0113147,d18155
827,tt0113147,d565
828,tt0117218,d20895
829,tt0100990,d15209
830,tt0111546,d14424
831,tt0093199,d10200
832,tt0106810,d10213
833,tt0111180,d15535
834,tt0111237,d4677
835,tt0072362,d7007
836,tt0103207,d14016
837,tt0116040,d18307
838,tt0116365,d17396
839,tt0116905,d12556
840,tt0116493,d6262
841,tt0117333,d12677
842,tt0118113,d16540
843,tt0117628,d8618
844,tt0117913,d12267
845,tt0115530,d15630
846,tt0114266,d22073
847,tt0115493,d9372
848,tt0116320,d13593
849,tt0116756,d17152
850,tt0109356,d10824
851,tt0116823,d10658
852,tt0112568,d16118
853,tt0114170,d11169
854,tt0117999,d16530
855,tt0118073,d5404
856,tt0108220,d15453
857,tt0049521,d14455
858,tt0104403,d17200
859,tt0061495,d22073
860,tt0110246,d17469
861,tt0116164,d18721
862,tt0112865,d17495
863,tt0112716,d14644
864,tt0115472,d19981
865,tt0116707,d12525
866,tt0116313,d10700
867,tt0114550,d16565
868,tt0117438,d18753
869,tt0116531,d10393
870,tt0117332,d8404
871,tt0116353,d5205
872,tt0115857,d4945
873,tt0117008,d7612
874,tt0116191,d8430
875,tt0115986,d20707
876,tt0116571,d10390
877,tt0053459,d9743
878,tt0117826,d9850
879,tt0113695,d12554
880,tt0108227,d14217
881,tt0111424,d10622
882,tt0113080,d10256
