imdb_id,actor_id
tt0114887,a30986
tt0114898,a19950
tt0114898,a40101
tt0114898,a5108
tt0114898,a14774
tt0114928,a76768
tt0114928,a8145
tt0114928,a49770
tt0114928,a5087
tt0114938,a12621
tt0114938,a6739
tt0114938,a38298
tt0114938,a46290
tt0109340,a27835
tt0109340,a68861
tt0109340,a55129
tt0109340,a68343
tt0112602,a73295
tt0112602,a62825
tt0112602,a74098
tt0112602,a24150
tt0111579,a53818
tt0111579,a54319
tt0111579,a21597
tt0111579,a54322
tt0110882,a18986
tt0110882,a40930
tt0110882,a22474
tt0110882,a78239
tt0112471,a35479
tt0112471,a22539
tt0112471,a25266
tt0112471,a63784
tt0112508,a68325
tt0112508,a52967
tt0112508,a81247
tt0112508,a80629
tt0112438,a71219
tt0112438,a48977
tt0112438,a79402
tt0112438,a30284
tt0112571,a31762
tt0112571,a60725
tt0112571,a7085
tt0112571,a52734
tt0112757,a65157
tt0112757,a25429
tt0112757,a29125
tt0112757,a63164
tt0112643,a19184
tt0112643,a20251
tt0112643,a29509
tt0112643,a23706
tt0112679,a58907
tt0112679,a24362
tt0112679,a59055
tt0112679,a14071
tt0109445,a58932
tt0109445,a2850
tt0109445,a30932
tt0109445,a72729
tt0112883,a12204
tt0112883,a22738
tt0112883,a24661
tt0112883,a60157
tt0109635,a24113
tt0109635,a55548
tt0109635,a74272
tt0109635,a31960
tt0112899,a42907
tt0112899,a32820
tt0112899,a52641
tt0112899,a20485
tt0109676,a72084
tt0109676,a14158
tt0109676,a14276
tt0109676,a40140
tt0112854,a52851
tt0112854,a76756
tt0112854,a33154
tt0112854,a75068
tt0109579,a79975
tt0109579,a43764
tt0109579,a81210
tt0109579,a56259
tt0109642,a7442
tt0109642,a47497
tt0109642,a60608
tt0109642,a62668
tt0109686,a15720
tt0109686,a21515
tt0109686,a37246
tt0109686,a73012
tt0111797,a49624
tt0111797,a79547
tt0111797,a81911
tt0111797,a82243
tt0109759,a32831
tt0109759,a43914
tt0109759,a53160
tt0109759,a44823
tt0109758,a22463
tt0109758,a53884
tt0109758,a58903
tt0109758,a5203
tt0109707,a22740
tt0109707,a46218
tt0109707,a60736
tt0109707,a4264
tt0113117,a67582
tt0113117,a44131
tt0113117,a38387
tt0113117,a65180
tt0113097,a20637
tt0113097,a81306
tt0113097,a51093
tt0113097,a73362
tt0113028,a66492
tt0113028,a22037
tt0113028,a12021
tt0113028,a11790
tt0113198,a27000
tt0113198,a51541
tt0113198,a20774
tt0113198,a51691
tt0113303,a31764
tt0113303,a45984
tt0113303,a71218
tt0113303,a71507
tt0113089,a39426
tt0113089,a55129
tt0113089,a76756
tt0113089,a73573
tt0109771,a23404
tt0109771,a78415
tt0109771,a83425
tt0109771,a16482
tt0113199,a73615
tt0113199,a82596
tt0113199,a23780
tt0113199,a36959
tt0113234,a53182
tt0113234,a18586
tt0113234,a18587
tt0113234,a15785
tt0109906,a2924
tt0109906,a2891
tt0109906,a5409
tt0109906,a6354
tt0110057,a30449
tt0110057,a938
tt0110057,a30442
tt0110057,a30441
tt0110005,a49815
tt0110005,a81342
tt0110005,a61410
tt0110005,a42910
tt0110066,a71376
tt0110066,a35206
tt0110066,a32902
tt0110066,a56616
tt0110116,a59381
tt0110116,a44948
tt0110116,a66934
tt0110116,a73081
tt0110006,a31782
tt0110006,a54491
tt0110006,a13869
tt0110006,a20098
tt0113360,a46121
tt0113360,a48987
tt0113360,a17285
tt0113360,a34735
tt0110099,a65994
tt0110099,a67553
tt0110099,a52242
tt0110099,a39444
tt0110148,a62544
tt0110148,a71676
tt0110148,a52722
tt0110148,a52740
tt0113463,a58383
tt0113463,a60333
tt0113463,a26141
tt0113463,a57880
tt0110189,a12472
tt0110189,a1095
tt0110189,a3992
tt0110189,a36495
tt0110216,a69362
tt0110216,a22254
tt0110216,a75791
tt0110216,a46376
tt0113501,a19313
tt0113501,a27918
tt0113501,a15300
tt0113501,a77598
tt0113538,a57976
tt0113538,a487
tt0113538,a50738
tt0113538,a5632
tt0113552,a15932
tt0113552,a39404
tt0113552,a14632
tt0113552,a38200
tt0076759,a34364
tt0076759,a28446
tt0076759,a27922
tt0076759,a20946
tt0110367,a67611
tt0110367,a14397
tt0110367,a2449
tt0110367,a52137
tt0113670,a52271
tt0113670,a12911
tt0113670,a20818
tt0113670,a69380
tt0110296,a66279
tt0110296,a78174
tt0110296,a46764
tt0110296,a78267
tt0109731,a14476
tt0109731,a18629
tt0109731,a15376
tt0109731,a81131
tt0103994,a47682
tt0103994,a16363
tt0103994,a76516
tt0103994,a51844
tt0110322,a62544
tt0110322,a37458
tt0110322,a63892
tt0110322,a59681
tt0110443,a79924
tt0110443,a38999
tt0110443,a9657
tt0110443,a10228
tt0110365,a67002
tt0110365,a29577
tt0110365,a42712
tt0110365,a64793
tt0107566,a5109
tt0107566,a49091
tt0107566,a78032
tt0107566,a22961
tt0110391,a7782
tt0110391,a8568
tt0110391,a36209
tt0110391,a70186
tt0113691,a46368
tt0113691,a9178
tt0113691,a73731
tt0113691,a41033
tt0110428,a32587
tt0110428,a54825
tt0110428,a23873
tt0110428,a20846
tt0109836,a58217
tt0109836,a12151
tt0109836,a38128
tt0109836,a15855
tt0113755,a17104
tt0113755,a27139
tt0113755,a75711
tt0113755,a80298
tt0110538,a51747
tt0110538,a41515
tt0110538,a44079
tt0110538,a45791
tt0110516,a33025
