first_name,last_name,actor_id
Diahnne,Abbott,a138
 Frank,Adu,a851
 Victor,Argo,a3914
 Gino,Ardito,a3855
Jackie,Chan,a16808
 Anita,Mui,a56339
 Françoise,Yip,a82458
 Bill,Tung,a77207
Meryl,Streep,a73760
 Liam,Neeson,a57579
 Edward,Furlong,a29577
 Julia,Weldon,a80209
Helena Bonham,Carter,a15893
 Clive,Russell,a67409
 Craig,Olejnik,a59384
 Kate,Nelligan,a57640
Michel,Serrault,a69971
 Eddy,Mitchell,a54893
 Sabine,Azéma,a5320
 Carmen,Maura,a52331
Kenneth,Branagh,a12152
 Janny,Brandes-Brilslijper,a12190
 Glenn,Close,a18597
 Rose De,Liema,a48187
Tobias,Arnold,a4205
 Ruth,Sheen,a70432
 Roger Lloyd,Pack,a60052
 Hugh,O'Conor,a58881
Sarah Jessica,Parker,a60759
 Eric,Schaeffer,a68938
 Ben,Stiller,a73477
 Elle,Macpherson,a50256
 Alan,Arkin,a3992
 Rachel,Ticotin,a76007
 Joe,Pantoliano,a60449
Halle,Berry,a9199
 Jim,Belushi,a8412
 Bill,Hunter,a38225
Henry,Czerny,a21028
 Johnny,Morina,a55916
 Brian,Dooley,a23913
 Philip,Dinn,a23386
 Robin,Givens,a31425
 Halle,Berry,a9178
 David Alan,Grier,a32960
Brigitte,Lin,a48313
 Tony Chiu-Wai,Leung,a47832
 Faye,Wong,a81592
 Takeshi,Kaneshiro,a41747
Sergio,Castellitto,a16160
 Tiziana,Lodato,a48837
 Franco,Scaldati,a68871
 Leopoldo,Trieste,a76854
Ben,Stiller,a73479
 Patricia,Arquette,a4264
 Téa,Leoni,a47693
 Mary Tyler,Moore,a55583
Jason James,Richter,a65599
 Melody,Kay,a42356
 Jack,Black,a10078
 Carole,Finn,a27816
Amel,Hedhili,a35792
 Najia,Ouerghi,a59889
 Hind,Sabri,a67765
 Fatima Ben,Saïdane,a68850
Maggie,Cogan,a18778
 Katina,Pendleton,a61503
Josh,Charles,a17044
 Anne,Heche,a35762
 John,Goodman,a31992
 Christine,Lahti,a45984
Miranda,Rhyne,a65391
 Charlotte Eve,Blythe,a10664
 Anna,Levine,a47877
 John,Ventimiglia,a78283
Corban,Walker,a79306
 Niall,Toibin,a76296
 Owen,Roe,a66412
David,Caruso,a15932
 Chazz,Palminteri,a60320
 Richard,Crenna,a20348
Luisito,Martí,a51827
 Caridad,Ravelo,a64588
 Raúl,Carbonell,a15336
 Rafael,Villalona,a78614
Lloyd,Dunn,a24746
 Chris,Grigg,a33041
 Mark,Hosler,a37636
 Don,Joyce,a40997
Kelsey,Grammer,a32455
 Rob,Schneider,a69157
 Harry Dean,Stanton,a72958
Mary Beth,Hurt,a38305
 Jean,Seberg,a69628
Vivian,Paxton,a61208
 Claudette,Sutherland,a74271
 Michael,Ornstein,a59686
 Cal,Bartlett,a7163
Jacob,Tierney,a76042
 Drake,Bell,a8207
 Gena,Rowlands,a67126
 Diana,Scarwid,a68906
Mohan,Agashe,a930
 Barun,Chakraborty,a16666
N/A,Champa,a16743
 Gyanesh,Mukherjee,a56365
Robert,Redford,a64787
 Michelle,Pfeiffer,a62045
 Stockard,Channing,a16926
 Joe,Mantegna,a51093
 Nathan,Lane,a46298
 Dianne,Wiest,a80736
Martin,Sheen,a70434
 Michael,York,a82512
 Morgan,Fairchild,a26753
 Paul,Guilfoyle,a33409
